Rank,Year,Movie,Worldwide,Domestic,International
133,2002,Star Wars Ep. II: Attack of the Clones,"$656,695,615 ","$310,676,740 ","$346,018,875 "
134,2017,Justice League,"$655,945,209 ","$229,024,295 ","$426,920,914 "
135,2015,The Martian,"$655,194,200 ","$228,433,663 ","$426,760,537 "
136,2003,Pirates of the Caribbean: The Curse o…,"$654,310,819 ","$305,410,819 ","$348,900,000 "
137,2012,Men in Black 3,"$654,213,485 ","$179,020,854 ","$475,192,631 "
138,2014,Interstellar,"$654,117,759 ","$188,017,894 ","$466,099,865 "
139,2006,Ice Age: The Meltdown,"$651,899,282 ","$195,330,621 ","$456,568,661 "
140,2018,Fantastic Beasts: The Crimes of Grind…,"$651,280,475 ","$159,555,901 ","$491,724,574 "
141,2014,Big Hero 6,"$649,683,252 ","$222,527,828 ","$427,155,424 "
142,2015,The Hunger Games: Mockingjay - Part 2,"$648,986,787 ","$281,723,902 ","$367,262,885 "
143,2013,Thor: The Dark World,"$644,602,516 ","$206,362,140 ","$438,240,376 "
144,2016,Moana,"$636,344,793 ","$248,757,044 ","$387,587,749 "
145,2016,Sing,"$632,483,611 ","$270,329,045 ","$362,154,566 "
146,2008,Kung Fu Panda,"$631,910,531 ","$215,434,591 ","$416,475,940 "
147,2004,The Incredibles,"$631,441,092 ","$261,441,092 ","$370,000,000 "
148,2011,Fast Five,"$630,163,454 ","$210,031,325 ","$420,132,129 "
149,2007,Ratatouille,"$626,549,695 ","$206,445,654 ","$420,104,041 "
150,2008,Hancock,"$624,234,272 ","$227,946,274 ","$396,287,998 "
151,2018,Ant-Man and the Wasp,"$623,144,660 ","$216,648,740 ","$406,495,920 "
152,2004,The Passion of the Christ,"$622,313,635 ","$370,782,930 ","$251,530,705 "
153,2010,Iron Man 2,"$621,156,389 ","$312,433,331 ","$308,723,058 "
154,2012,Life of Pi,"$619,310,368 ","$124,987,022 ","$494,323,346 "
155,1997,The Lost World: Jurassic Park,"$618,638,999 ","$229,086,679 ","$389,552,320 "
156,2014,How to Train Your Dragon 2,"$614,586,270 ","$177,002,924 ","$437,583,346 "
157,2017,Logan,"$614,202,315 ","$226,277,068 ","$387,925,247 "
158,2005,War of the Worlds,"$606,836,535 ","$234,280,354 ","$372,556,181 "
159,2008,Mamma Mia!,"$603,604,074 ","$144,130,063 ","$459,474,011 "
160,2017,Transformers: The Last Knight,"$602,893,340 ","$130,168,683 ","$472,724,657 "
161,2008,Madagascar: Escape 2 Africa,"$599,680,774 ","$180,174,880 ","$419,505,894 "
162,2006,Casino Royale,"$594,420,283 ","$167,365,000 ","$427,055,283 "
163,2008,Quantum of Solace,"$591,692,078 ","$169,368,427 ","$422,323,651 "
164,1997,Men in Black,"$587,790,539 ","$250,690,539 ","$337,100,000 "
165,2011,The Hangover Part II,"$586,464,305 ","$254,464,305 ","$332,000,000 "
166,2010,Tangled,"$585,727,091 ","$200,821,936 ","$384,905,155 "
167,2007,I am Legend,"$585,532,684 ","$256,393,010 ","$329,139,674 "
168,2008,Iron Man,"$585,171,547 ","$318,604,126 ","$266,567,421 "
169,2006,Night at the Museum,"$579,446,407 ","$250,863,268 ","$328,583,139 "
170,2018,Ready Player One,"$579,055,653 ","$137,690,172 ","$441,365,481 "
171,2013,The Croods,"$573,068,425 ","$187,168,425 ","$385,900,000 "
172,2015,Fifty Shades of Grey,"$570,998,101 ","$166,167,230 ","$404,830,871 "
173,2011,The Smurfs,"$563,749,323 ","$142,614,158 ","$421,135,165 "
174,2017,Kong: Skull Island,"$561,072,059 ","$168,052,812 ","$393,019,247 "
175,2001,"Monsters, Inc.","$560,251,719 ","$289,917,425 ","$270,334,294 "
176,2011,Cars 2,"$560,155,383 ","$191,450,875 ","$368,704,508 "
177,2005,Madagascar,"$556,559,566 ","$193,595,521 ","$362,964,045 "
178,2012,Ted,"$556,016,627 ","$218,665,740 ","$337,350,887 "
179,2004,The Day After Tomorrow,"$555,840,117 ","$186,740,799 ","$369,099,318 "
180,2011,Puss in Boots,"$554,987,477 ","$149,260,504 ","$405,726,973 "
181,2012,Brave,"$554,606,532 ","$237,282,182 ","$317,324,350 "
182,1998,Armageddon,"$554,600,000 ","$201,578,182 ","$353,021,818 "
183,2005,King Kong,"$550,517,357 ","$218,080,025 ","$332,437,332 "
184,2000,Mission: Impossible 2,"$549,588,516 ","$215,409,889 ","$334,178,627 "
185,1980,Star Wars Ep. V: The Empire Strikes Back,"$549,025,718 ","$291,738,960 ","$257,286,758 "
186,2014,American Sniper,"$547,326,372 ","$350,126,372 ","$197,200,000 "
187,2018,Tang Ren Jie Tan An 2,"$544,068,574 ","$1,983,984 ","$542,084,590 "
188,2010,Despicable Me,"$543,464,573 ","$251,513,985 ","$291,950,588 "
189,2016,X-Men: Apocalypse,"$542,537,546 ","$155,442,489 ","$387,095,057 "
190,2011,Sherlock Holmes: A Game of Shadows,"$535,663,443 ","$186,848,418 ","$348,815,025 "
191,2015,Cinderella,"$534,551,353 ","$201,151,353 ","$333,400,000 "
192,2018,Hong Hai Xing Dong,"$533,601,535 ","$1,543,547 ","$532,057,988 "
193,2015,The Revenant,"$532,938,302 ","$183,637,894 ","$349,300,408 "
194,2008,WALL-E,"$532,508,025 ","$223,808,164 ","$308,699,861 "
195,2013,World War Z,"$531,514,650 ","$202,359,711 ","$329,154,939 "
196,2018,Ralph Breaks The Internet,"$529,290,830 ","$201,091,711 ","$328,199,119 "
197,2014,Godzilla,"$529,076,069 ","$200,676,069 ","$328,400,000 "
198,2017,The Boss Baby,"$527,965,936 ","$175,003,033 ","$352,962,903 "
199,2018,The Meg,"$527,370,715 ","$145,443,742 ","$381,926,973 "
200,2018,Hotel Transylvania 3: Summer Vacation,"$527,103,195 ","$167,500,092 ","$359,603,103 "
201,2007,The Simpsons Movie,"$527,071,022 ","$183,135,014 ","$343,936,008 "
202,2016,Mei Ren Yu,"$525,018,479 ","$3,229,457 ","$521,789,022 "
203,2019,How to Train Your Dragon: The Hidden …,"$522,139,836 ","$160,799,505 ","$361,340,331 "
204,2016,Kung Fu Panda 3,"$521,170,825 ","$143,528,619 ","$377,642,206 "
205,2017,Dunkirk,"$520,155,374 ","$190,068,280 ","$330,087,094 "
206,2015,Ant-Man,"$518,858,449 ","$180,202,163 ","$338,656,286 "
207,1990,Ghost,"$517,600,000 ","$217,631,306 ","$299,968,694 "
208,2004,Meet the Fockers,"$516,567,575 ","$279,167,575 ","$237,400,000 "
209,1991,Terminator 2: Judgment Day,"$515,390,883 ","$203,464,105 ","$311,926,778 "
210,2018,Dr. Seuss’ The Grinch,"$511,669,509 ","$270,620,950 ","$241,048,559 "
211,1999,Toy Story 2,"$511,358,276 ","$245,852,179 ","$265,506,097 "
212,1992,Aladdin,"$504,050,219 ","$217,350,219 ","$286,700,000 "
213,2009,Sherlock Holmes,"$498,438,212 ","$209,028,679 ","$289,409,533 "
214,2012,Wreck-It Ralph,"$496,511,521 ","$189,412,677 ","$307,098,844 "
215,1996,Twister,"$495,700,000 ","$241,688,385 ","$254,011,615 "
216,2010,How to Train Your Dragon,"$494,870,992 ","$217,581,232 ","$277,289,760 "
217,2010,Clash of the Titans,"$493,214,888 ","$163,214,888 ","$330,000,000 "
218,2014,Rio 2,"$492,846,291 ","$131,538,435 ","$361,307,856 "
219,2001,Shrek,"$491,812,794 ","$267,655,011 ","$224,157,783 "
220,2009,Angels & Demons,"$490,875,846 ","$133,375,846 ","$357,500,000 "
221,2013,Oz the Great and Powerful,"$490,359,051 ","$234,770,996 ","$255,588,055 "
222,2017,War for the Planet of the Apes,"$489,592,267 ","$146,880,162 ","$342,712,105 "
223,2019,Maleficent: Mistress of Evil,"$489,346,495 ","$113,929,605 ","$375,416,890 "
224,2011,Rio,"$487,519,809 ","$143,619,809 ","$343,900,000 "
